04:24:46:813 AWT-EventQueue-0: Build 898.3, Sep 23, 2009 5:03:56 PM
04:25:25:879 AWT-EventQueue-0: Market rule file /Users/david/lab616/third_party/java/ib-tws-898/IBJts/dbuhtmvwt/Fri.rul does not exist or is removed
Jolt logger configuration is done.
07:22:14:133 JTS-CCPPing-12: Warning: not received heartbeat at 10608000 elapsed:11000
07:22:53:135 JTS-CCPPing-12: Warning: not received heartbeat at 10647000 elapsed:11000
07:23:13:137 JTS-CCPPing-12: Warning: not received heartbeat at 10667000 elapsed:11000
07:23:14:137 JTS-CCPPing-12: Warning: not received heartbeat at 10668000 elapsed:12000
07:23:53:139 JTS-CCPPing-12: Warning: not received heartbeat at 10707000 elapsed:11000
07:26:19:138 JTS-CCPPing-12: Warning: not received heartbeat at 10853000 elapsed:11000
07:26:49:144 JTS-CCPPing-12: Warning: not received heartbeat at 10883000 elapsed:11000
07:27:49:148 JTS-CCPPing-12: Warning: not received heartbeat at 10943000 elapsed:11000
07:28:09:149 JTS-CCPPing-12: Warning: not received heartbeat at 10963000 elapsed:11000
07:28:43:153 JTS-CCPPing-12: Warning: not received heartbeat at 10997000 elapsed:11000
07:29:23:156 JTS-CCPPing-12: Warning: not received heartbeat at 11037000 elapsed:11000
07:31:53:167 JTS-CCPPing-12: Warning: not received heartbeat at 11187000 elapsed:11000
07:32:54:171 JTS-CCPPing-12: Warning: not received heartbeat at 11248000 elapsed:11000
07:34:43:184 JTS-CCPPing-12: Warning: not received heartbeat at 11357000 elapsed:11000
07:35:03:185 JTS-CCPPing-12: Warning: not received heartbeat at 11377000 elapsed:11000
07:35:23:186 JTS-CCPPing-12: Warning: not received heartbeat at 11397000 elapsed:11000
07:36:08:991 JTS-CCPPing-12: Warning: not received heartbeat at 11443000 elapsed:11000
07:36:58:995 JTS-CCPPing-12: Warning: not received heartbeat at 11493000 elapsed:11000
07:37:42:997 JTS-CCPPing-12: Warning: not received heartbeat at 11537000 elapsed:11000
07:38:02:998 JTS-CCPPing-12: Warning: not received heartbeat at 11557000 elapsed:11000
07:38:53:002 JTS-CCPPing-12: Warning: not received heartbeat at 11607000 elapsed:11000
07:39:14:004 JTS-CCPPing-12: Warning: not received heartbeat at 11628000 elapsed:11000
07:41:53:017 JTS-CCPPing-12: Warning: not received heartbeat at 11787000 elapsed:11000
07:42:13:018 JTS-CCPPing-12: Warning: not received heartbeat at 11807000 elapsed:11000
07:42:34:020 JTS-CCPPing-12: Warning: not received heartbeat at 11828000 elapsed:11000
07:43:53:031 JTS-CCPPing-12: Warning: not received heartbeat at 11907000 elapsed:11000
07:45:13:036 JTS-CCPPing-12: Warning: not received heartbeat at 11987000 elapsed:11000
07:47:43:225 JTS-CCPPing-12: Warning: not received heartbeat at 12137000 elapsed:11000
